pH,ionic_strength_mM,zeta_mV_predicted,V_max_kT
6.694915254237289,12.015310563037616,-28.762588038760143,45.66618988420414
6.745762711864407,12.015310563037616,-29.23514580705135,47.97732070605875
6.796610169491526,12.015310563037616,-29.707703575342567,50.341180572857084
6.8474576271186445,12.015310563037616,-30.18026134363378,52.75996299538283
6.898305084745763,12.015310563037616,-30.65281911192499,55.23159038707251
6.9491525423728815,12.015310563037616,-31.125376880216205,57.75621900595521
7.0,12.015310563037616,-31.597934648507415,60.33397142562857
4.0,12.579655582885128,-12.839479827005356,-0.17036656629109884
4.0508474576271185,12.579655582885128,-13.006933073713506,-0.17036656475919415
4.101694915254237,12.579655582885128,-13.174386320421654,-0.1703665632074397
4.1525423728813555,12.579655582885128,-13.341839567129805,-0.1703665616358355
4.203389830508475,12.579655582885128,-13.509292813837956,-0.17036656004438155
4.254237288135593,12.579655582885128,-13.676746060546105,-0.1436091997871494
4.305084745762712,12.579655582885128,-13.844199307254254,0.050795134708810516
4.3559322033898304,12.579655582885128,-14.011652553962403,0.25263986988417386
4.406779661016949,12.579655582885128,-14.179105800670552,0.46190289151677116
4.4576271186440675,12.579655582885128,-14.346559047378701,0.678525839202594
4.508474576271187,12.579655582885128,-14.514012294086854,0.9024085931402684
4.559322033898305,12.579655582885128,-14.681465540795003,1.1335627266825758
4.610169491525424,12.579655582885128,-14.848918787503152,1.3718768957202316
4.661016949152542,12.579655582885128,-15.016372034211301,1.617357971257684
4.711864406779661,12.579655582885128,-15.18382528091945,1.869993746457672
4.762711864406779,12.579655582885128,-15.3512785276276,2.1297505570500266
4.813559322033898,12.579655582885128,-15.51873177433575,2.396570620521379
4.864406779661017,12.579655582885128,-15.686185021043901,2.670369055886881
4.915254237288136,12.579655582885128,-15.85363826775205,2.951278657111043
4.966101694915254,12.579655582885128,-16.0210915144602,3.2390806018979568
5.016949152542373,12.579655582885128,-16.188544761168348,3.5339977296430285
5.067796610169491,12.579655582885128,-16.355998007876497,3.8358110205203313
5.118644067796611,12.579655582885128,-16.52345125458465,4.144542093768342
5.169491525423728,12.579655582885128,-16.690904501292795,4.460204374082145
5.220338983050848,12.579655582885128,-16.858357748000948,4.782802311768436
5.271186440677966,12.579655582885128,-17.025810994709097,5.112330532845658
5.322033898305085,12.579655582885128,-17.193264241417246,5.4487729118422426
5.372881355932203,12.579655582885128,-17.360717488125395,5.7921015591720435
5.423728813559322,12.579655582885128,-17.528170734833548,6.142275713973029
5.474576271186441,12.579655582885128,-17.695623981541697,6.4992405321628555
5.52542372881356,12.579655582885128,-18.00519356036027,7.177337555229569
5.576271186440678,12.579655582885128,-18.456879471289255,8.208649937865507
5.627118644067797,12.579655582885128,-18.908565382218242,9.289517960044892
5.677966101694915,12.579655582885128,-19.36025129314723,10.419691365162047
5.728813559322034,12.579655582885128,-19.81193720407622,11.59965180883449
5.779661016949152,12.579655582885128,-20.263623115005206,12.828688715961086
5.830508474576272,12.579655582885128,-20.715309025934204,14.106956661864892
5.88135593220339,12.579655582885128,-21.16699493686319,15.434409509942899
5.932203389830509,12.579655582885128,-21.618680847792177,16.81076345890008
5.983050847457627,12.579655582885128,-22.070366758721168,18.236443603021414
6.033898305084746,12.579655582885128,-22.522052669650154,19.71078123163648
6.084745762711865,12.579655582885128,-22.97373858057915,21.23456657858736
6.135593220338983,12.579655582885128,-23.425424491508124,22.80704767978528
6.186440677966102,12.579655582885128,-23.877110402437122,24.428374265435252
6.237288135593221,12.579655582885128,-24.32879631336611,26.098594702640973
6.288135593220339,12.579655582885128,-24.7804822242951,27.817641656699983
